Id,Neighborhood,HouseStyle,Heating,CentralAir,GarageCars,GarageArea,SalePrice
1,CollgCr,2Story,GasA,Y,0,1418,208500
2,Veenker,1Story,GasA,Y,0,1390,181500
3,CollgCr,2Story,GasA,Y,0,1356,223500
4,Crawfor,2Story,GasA,Y,0,1248,140000
5,NoRidge,2Story,GasA,Y,0,1220,250000
6,Mitchel,1.5Fin,GasA,Y,0,1166,143000
7,Somerst,1Story,GasA,Y,0,1134,307000
8,NWAmes,2Story,GasA,Y,0,1069,200000
9,OldTown,1.5Fin,GasA,Y,0,1053,129900
10,BrkSide,1.5Unf,GasA,Y,0,1052,118000
11,Sawyer,1Story,GasA,Y,0,1052,129500
12,NridgHt,2Story,GasA,Y,0,1043,345000
13,Sawyer,1Story,GasA,Y,0,1025,144000
14,CollgCr,1Story,GasA,Y,0,1020,279500
15,NAmes,1Story,GasA,Y,0,1014,157000
16,BrkSide,1.5Unf,GasA,Y,0,995,132000
17,NAmes,1Story,GasA,Y,0,983,149000
18,Sawyer,1Story,GasA,Y,0,968,90000
19,SawyerW,1Story,GasA,Y,0,968,159000
20,NAmes,1Story,GasA,Y,0,954,139000
21,NridgHt,2Story,GasA,Y,0,947,325300
22,IDOTRR,1.5Unf,GasA,Y,0,936,139400
23,CollgCr,1Story,GasA,Y,0,936,230000
24,MeadowV,1Story,GasA,Y,0,928,129900
25,Sawyer,1Story,GasA,Y,0,924,154000
26,NridgHt,1Story,GasA,Y,0,924,256300
27,NAmes,1Story,GasA,Y,0,923,134800
28,NridgHt,1Story,GasA,Y,0,912,306000
29,NAmes,1Story,GasA,Y,0,908,207500
30,BrkSide,1Story,GasA,N,0,908,68500
31,IDOTRR,2Story,GasA,N,0,905,40000
32,Sawyer,1Story,GasA,Y,0,902,149350
33,CollgCr,1Story,GasA,Y,0,900,179900
34,NAmes,1Story,GasA,Y,0,900,165500
35,NridgHt,1Story,GasA,Y,0,898,277500
36,NridgHt,2Story,GasA,Y,0,895,309000
37,CollgCr,1Story,GasA,Y,0,895,145000
38,NAmes,1Story,GasA,Y,0,894,153000
39,NAmes,1Story,GasA,Y,0,890,109000
40,Edwards,1Story,GasA,N,0,889,82000
41,NAmes,1Story,GasA,Y,0,888,160000
42,Timber,1Story,GasA,Y,0,888,170000
43,SawyerW,SFoyer,GasA,Y,0,888,144000
44,CollgCr,1Story,GasA,Y,0,884,130250
45,NAmes,1Story,GasA,Y,0,884,141000
46,NridgHt,1Story,GasA,Y,0,884,319900
47,Mitchel,1.5Fin,GasA,Y,0,880,239686
48,Somerst,1Story,GasA,Y,0,880,249700
49,OldTown,2Story,GasA,Y,0,880,113000
50,Sawyer,1Story,GasA,Y,0,878,127000
51,Gilbert,2Story,GasA,Y,0,874,177000
52,BrkSide,1.5Fin,GasA,Y,0,872,114500
53,IDOTRR,1Story,GasA,N,0,871,110000
54,Veenker,1Story,GasA,Y,0,871,385000
55,NAmes,SLvl,GasA,Y,0,870,130000
56,NAmes,1Story,GasA,Y,0,870,180500
57,Somerst,2Story,GasA,Y,0,870,172500
58,CollgCr,2Story,GasA,Y,0,868,196500
59,StoneBr,2Story,GasA,Y,0,868,438780
60,CollgCr,1Story,GasA,Y,0,866,124900
61,SawyerW,1Story,GasA,Y,0,866,158000
62,IDOTRR,2.5Unf,GasA,N,0,865,101000
63,NridgHt,1Story,GasA,Y,0,865,202500
64,OldTown,2Story,GasA,Y,0,864,140000
65,CollgCr,2Story,GasA,Y,0,864,219500
66,NridgHt,2Story,GasA,Y,0,862,317000
67,NAmes,1Story,GasA,Y,0,860,180000
68,CollgCr,1Story,GasA,Y,0,858,226000
69,OldTown,1Story,GasA,Y,0,857,80000
70,ClearCr,1.5Fin,GasW,Y,0,856,225000
71,NAmes,1Story,GasA,Y,0,856,244000
72,Mitchel,1Story,GasA,Y,0,853,129500
73,Gilbert,2Story,GasA,Y,0,852,185000
74,NAmes,1Story,GasA,Y,0,850,144900
75,OldTown,2Story,GasA,N,0,846,107400
76,MeadowV,SLvl,GasA,Y,0,844,91000
77,NAmes,1Story,GasA,Y,0,843,135750
78,BrkSide,1.5Fin,GasA,Y,0,842,127000
79,Sawyer,1Story,GasA,N,0,841,136500
80,OldTown,2Story,GasA,Y,0,840,110000
81,NAmes,2Story,GasA,Y,0,840,193500
82,Mitchel,1Story,GasA,Y,1,840,153500
83,Somerst,1Story,GasA,Y,1,840,245000
84,NAmes,1Story,GasA,Y,1,840,126500
85,Gilbert,SLvl,GasA,Y,1,840,168500
86,NoRidge,2Story,GasA,Y,1,839,260000
87,Gilbert,2Story,GasA,Y,1,839,174000
88,Somerst,2Story,GasA,Y,1,836,164500
89,IDOTRR,1.5Fin,GasA,N,1,836,85000
90,CollgCr,1Story,GasA,Y,1,836,123600
91,NAmes,1Story,GasA,Y,1,834,109900
92,NAmes,1Story,GasA,Y,1,834,98600
93,Crawfor,1Story,GasA,Y,1,834,163500
94,OldTown,2.5Unf,GasW,N,1,834,133900
95,CollgCr,2Story,GasA,Y,1,833,204750
96,Gilbert,2Story,GasA,Y,1,832,185000
97,CollgCr,1Story,GasA,Y,1,831,214000
98,Edwards,1Story,GasA,Y,1,830,94750
99,Edwards,1Story,GasA,N,1,826,83000
100,NAmes,1Story,GasA,Y,1,826,128950
101,NWAmes,1Story,GasA,Y,1,826,205000
102,SawyerW,2Story,GasA,Y,1,825,178000
103,SawyerW,1Story,GasA,Y,1,824,118964
104,CollgCr,1Story,GasA,Y,1,820,198900
105,IDOTRR,1.5Fin,GasA,Y,1,820,169500
106,Somerst,2Story,GasA,Y,1,818,250000
107,OldTown,1Story,GasA,Y,1,816,100000
108,OldTown,1Story,GasA,Y,1,813,115000
109,IDOTRR,1.5Fin,GasW,N,1,812,115000
110,NWAmes,1Story,GasA,Y,1,812,190000
111,Edwards,1.5Fin,GasA,Y,1,810,136900
112,Gilbert,SLvl,GasA,Y,1,808,180000
113,CollgCr,2Story,GasA,Y,1,807,383970
114,Crawfor,1Story,GasA,Y,1,804,217000
115,Crawfor,2Story,GasA,Y,1,800,259500
116,Somerst,2Story,GasA,Y,1,800,176000
117,Sawyer,1Story,GasA,Y,1,796,139000
118,Edwards,1Story,GasA,Y,1,796,155000
119,SawyerW,2Story,GasA,Y,1,795,320000
120,CollgCr,2Story,GasA,Y,1,792,163990
121,ClearCr,SLvl,GasA,Y,1,792,180000
122,IDOTRR,1.5Fin,GasA,Y,1,789,100000
123,NAmes,1Story,GasA,Y,1,788,136000
124,SawyerW,1Story,GasA,Y,1,786,153900
125,NWAmes,1Story,GasA,Y,1,786,181000
126,IDOTRR,1.5Fin,GasA,N,1,786,84500
127,NPkVill,1Story,GasA,Y,1,784,128000
128,OldTown,1.5Unf,GasA,Y,1,782,87000
129,NAmes,2Story,GasA,Y,1,779,155000
130,NAmes,1Story,GasA,Y,1,779,150000
131,NAmes,2Story,GasA,Y,1,779,226000
132,Gilbert,2Story,GasA,Y,1,776,244000
133,NAmes,1Story,GasA,Y,1,776,150750
134,Timber,1Story,GasA,Y,1,776,220000
